"","splitweek1","splitweek2","end1","end2","BS_CET","EN_CET","BA_CET","QR_CET","CP_CET","CR_CET","EN_PTS","QR_PTS","CP_PTS","CR_PTS","CET_CP_quantile","PTS_CP_quantile","CET_CR_quantile","PTS_CR_quantile","CET_Lr","CET_La","CET_Ls","CET_Lb","CET_Ur","CET_Ua","CET_Us","CET_Ub","PTS_Lr","PTS_La","PTS_Ls","PTS_Lb","PTS_Ur","PTS_Ua","PTS_Us","PTS_Ub"
"1",50,20,20,20,0,0,0.908623173492488,0.966659806544557,0.917266927351307,0.917061123688002,0.0282087447108604,0.742333813541881,0.933525416752418,0.934966042395555,3.73304401948223,1.45439752140617,3.72456144625596,1.54029572525483,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"2",150,20,20,20,0,0,0.908623173492488,0.917266927351307,0.904301296563079,0.903889689236468,0.0282087447108604,0.740687384235439,0.907799958839267,0.892158880428072,2.2761061054193,0.724221441319309,1.96193238072803,0.685839815701284,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"3",50,20,40,20,0,0,0.908623173492488,0.966659806544557,0.913768265075118,0.913562461411813,0.0282087447108604,0.742333813541881,0.958633463675653,0.958016052685738,2.43716422499615,2.08422768483989,2.422711750055,2.00440227548177,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"4",150,20,40,20,0,0,0.908623173492488,0.966659806544557,0.904712903889689,0.90553611854291,0.0282087447108604,0.740687384235439,0.914385676065034,0.922206215270632,2.42797905560469,0.895417197235218,2.50632020863566,0.961414866208194,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"5",50,20,Inf,20,0,0,0.908623173492488,0.917266927351307,0.997736159703643,0.997736159703643,0.0282087447108604,0.737600329285861,0.991356246141181,0.991356246141181,2.39402242186946,2.48683999625544,2.42324702553856,2.47863666722682,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"6",150,20,Inf,20,0,0,0.908623173492488,0.966659806544557,0.911298621115456,0.907388351512657,0.0282087447108604,0.742333813541881,0.963366947931673,0.958633463675653,3.03402825097227,1.81381046662809,2.39353967516154,1.51476009105962,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"7",50,20,20,40,0,0,0.821979831240996,0.968306235850998,0.863140563902037,0.839267338958633,0.0282087447108604,0.772175344721136,0.876929409343486,0.867668244494752,3.8126281722947,1.76866064835259,3.72000179511915,1.50537500303121,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"8",150,20,20,40,0,0,0.821979831240996,0.929615147149619,0.813541881045483,0.814982506688619,0.0282087447108604,0.769088289771558,0.789668656102079,0.803457501543527,1.60654129870581,0.66268638320836,1.94982809717396,0.689654052880246,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"9",50,20,40,40,0,0,0.821979831240996,0.968306235850998,0.834328051039309,0.832064210742951,0.0282087447108604,0.772175344721136,0.917061123688002,0.908828977155793,2.47958433012288,2.27229072152012,2.42592985298255,1.96901779540205,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"10",150,20,40,40,0,0,0.821979831240996,0.968306235850998,0.820745009261165,0.82053920559786,0.0282087447108604,0.769088289771558,0.836180284009055,0.84626466351101,2.6004432831977,0.906110314095767,2.57530215434343,0.986165661138987,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"11",50,20,Inf,40,0,0,0.821979831240996,0.929615147149619,0.987034369211772,0.987445976538382,0.0282087447108604,0.76600123482198,0.975920971393291,0.976949989709817,2.34807472642864,2.34739007841553,2.40903739755696,2.46714565296489,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"12",150,20,Inf,40,0,0,0.821979831240996,0.968306235850998,0.822597242230912,0.823214653220827,0.0282087447108604,0.772381148384441,0.935995060712081,0.911092817452151,2.34807472642864,2.34739007841553,2.45080118421639,1.54170785769565,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"13",50,20,20,Inf,0,0,0.649722165054538,0.980448651986005,0.779790080263429,0.789051245112163,0.0282087447108604,0.841531179254991,0.749125334430953,0.742539617205186,3.71230079194428,1.59377275599787,3.73073898373045,1.52539509131807,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"14",150,20,20,Inf,0,0,0.649722165054538,0.972010701790492,0.638608767236057,0.642519036838856,0.0282087447108604,0.839678946285244,0.645400288125129,0.657748507923441,1.56678680192181,0.66440133732986,1.99496624750809,0.696379398981144,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"15",50,20,40,Inf,0,0,0.649722165054538,0.980448651986005,0.74109899156205,0.694998970981684,0.0282087447108604,0.841531179254991,0.80119366124717,0.797077587981066,2.47501849631311,2.067524308642,2.42163228474464,1.96482031811158,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"16",150,20,40,Inf,0,0,0.649722165054538,0.980448651986005,0.647869932084791,0.651162790697674,0.0282087447108604,0.839678946285244,0.688619057419222,0.712903889689236,2.33153378829139,0.897999361388832,2.54377313481554,1.02451753542074,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"17",50,20,Inf,Inf,0,0,0.649722165054538,0.972010701790492,0.925910681210126,0.926733895863346,0.0282087447108604,0.837826713315497,0.932702202099197,0.931055772792756,2.34695213318478,2.48178223748142,2.41711451449777,2.42887513569935,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"18",150,20,Inf,Inf,0,0,0.649722165054538,0.980448651986005,0.650133772381148,0.657542704260136,0.0282087447108604,0.842354393908212,0.775262399670714,0.804486519860053,2.19392403828848,1.20966606639923,2.55649285511381,1.62315959739147,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"19",50,50,20,20,0,0,0.942992385264458,0.907388351512657,0.934554435068944,0.933525416752418,0.0282087447108604,0.635933319613089,0.944227207244289,0.940934348631406,3.76309686615688,1.75427220665545,3.7351228773434,1.55372026568723,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"20",150,50,20,20,0,0,0.942992385264458,0.903889689236468,0.923235233587158,0.922823626260547,0.0282087447108604,0.633669479316732,0.909652191809014,0.903066474583248,2.04260219113932,0.704775717583047,1.97292652123155,0.69464099016028,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"21",50,50,40,20,0,0,0.942992385264458,0.907388351512657,0.928997736159704,0.929409343486314,0.0282087447108604,0.635933319613089,0.956369623379296,0.959868285655485,2.38450866138952,1.85685244152299,2.41430198977701,1.9948330837185,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"22",150,50,40,20,0,0,0.942992385264458,0.907388351512657,0.926733895863346,0.925499073883515,0.0282087447108604,0.633669479316732,0.924675859230294,0.928997736159704,2.59082863506301,0.918727107151672,2.42914388131664,0.948739830193034,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"23",50,50,Inf,20,0,0,0.942992385264458,0.903889689236468,0.996295534060506,0.996295534060506,0.0282087447108604,0.631405639020375,0.989298209508129,0.98970981683474,2.32369531466928,2.42847980557374,2.38018734715109,2.5047445127367,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"24",150,50,Inf,20,0,0,0.942992385264458,0.907388351512657,0.931055772792756,0.927351306853262,0.0282087447108604,0.717637373945256,0.964190162584894,0.961308911298621,3.00613089602155,1.76345482718577,2.49266811106616,1.618141217392,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"25",50,50,20,40,0,0,0.901625848940111,0.939287919324964,0.953282568429718,0.951841942786582,0.0282087447108604,0.673595389997942,0.914591479728339,0.914591479728339,3.80418693758146,1.50084819478592,3.73418644384301,1.53756079855296,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"26",150,50,20,40,0,0,0.901625848940111,0.934760238732249,0.891541469438156,0.88063387528298,0.0282087447108604,0.670714138711669,0.909446388145709,0.852232969746861,3.80418693758146,1.50084819478592,2.01455698165727,0.701990793938984,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"27",50,50,40,40,0,0,0.901625848940111,0.939287919324964,0.892570487754682,0.893393702407903,0.0282087447108604,0.673595389997942,0.935995060712081,0.935995060712081,2.40818115878794,1.94815358385736,2.42097408312793,1.96214889583772,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"28",150,50,40,40,0,0,0.901625848940111,0.939287919324964,0.885573163202305,0.887013788845441,0.0282087447108604,0.670714138711669,0.923235233587158,0.892158880428072,2.40818115878794,1.94815358385736,2.49366607321233,0.933490481207642,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"29",50,50,Inf,40,0,0,0.901625848940111,0.934760238732249,0.991973657131097,0.991767853467792,0.0282087447108604,0.664540028812513,0.985182136242025,0.983947314262194,2.46546709363555,2.63497172168016,2.42643650569338,2.5367995704103,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"30",150,50,Inf,40,0,0,0.901625848940111,0.939287919324964,0.887631199835357,0.889277629141799,0.0282087447108604,0.71660835562873,0.959662481992179,0.9407285449681,2.46546709363555,2.63497172168016,2.54187713222206,1.6391151335134,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"31",50,50,20,Inf,0,0,0.793578925704878,0.959868285655485,0.881251286272896,0.882280304589422,0.0282087447108604,0.744803457501544,0.853467791726693,0.849351718460589,3.62352862869499,1.61831014334589,3.73025425348527,1.53284873041923,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"32",150,50,20,Inf,0,0,0.793578925704878,0.951636139123276,0.777937847293682,0.777526239967071,0.0282087447108604,0.740481580572134,0.725046305824244,0.714550318995678,2.05075817783984,0.694509366115914,1.95495630113132,0.682321346495823,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"33",50,50,40,Inf,0,0,0.793578925704878,0.959868285655485,0.876929409343486,0.876723605680181,0.0282087447108604,0.744803457501544,0.888042807161967,0.882074500926117,2.45237055668263,2.15321484514171,2.41966964391109,1.96200511601784,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"34",150,50,40,Inf,0,0,0.793578925704878,0.959868285655485,0.782053920559786,0.784111957192838,0.0282087447108604,0.740481580572134,0.868285655484668,0.826507511833711,2.45237055668263,2.15321484514171,2.61024707646565,0.985777393226922,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"35",50,50,Inf,Inf,0,0,0.793578925704878,0.951636139123276,0.963984358921589,0.964395966248199,0.0282087447108604,0.739040954928998,0.9604856966454,0.962132125951842,2.35733592741151,2.44180237932772,2.40644359492787,2.49409555061048,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"36",150,50,Inf,Inf,0,0,0.793578925704878,0.959868285655485,0.788845441448858,0.790080263428689,0.0282087447108604,0.763119983535707,0.881662893599506,0.883515126569253,2.41650042010407,1.53455338087728,2.46824005245318,1.57486202732601,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"37",50,100,20,20,0,0,0.950812924470056,0.89092405844824,0.939287919324964,0.939493722988269,0.0282087447108604,0.549495781024902,0.948960691500309,0.944844618234205,3.69406120568678,1.70646018438223,3.71804893618079,1.5299991661694,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"38",150,100,20,20,0,0,0.950812924470056,0.88577896686561,0.921794607944021,0.921794607944021,0.0282087447108604,0.547231940728545,0.906976744186046,0.903478081909858,1.96072120629735,0.693356012926413,1.95010755365777,0.687536910124332,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"39",50,100,40,20,0,0,0.950812924470056,0.89092405844824,0.933525416752418,0.933525416752418,0.0282087447108604,0.549495781024902,0.965836591891336,0.963572751594978,2.4350897259473,2.14562452086957,2.43834257648607,2.02382761714841,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"40",150,100,40,20,0,0,0.950812924470056,0.89092405844824,0.931055772792756,0.930849969129451,0.0282087447108604,0.547231940728545,0.931673183782671,0.933731220415723,2.65073477078212,0.940896748295504,2.58534359053279,1.01389597295393,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"41",50,100,Inf,20,0,0,0.950812924470056,0.88577896686561,0.996501337723811,0.996501337723811,0.0282087447108604,0.653838238320642,0.991562049804486,0.991356246141181,2.39717186484755,2.53492194040216,2.4097669188955,2.45551817237562,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"42",150,100,Inf,20,0,0,0.950812924470056,0.89092405844824,0.931673183782671,0.931878987445977,0.0282087447108604,0.729368182753653,0.975920971393291,0.963161144268368,2.39717186484755,2.53492194040216,2.44525120562066,1.53148368047563,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"43",50,100,20,40,0,0,0.919530767647664,0.899773615970364,0.92055978596419,0.93517184605886,0.0282087447108604,0.584894011113398,0.921794607944021,0.922617822597242,3.69475264938461,1.43278967857042,3.722512917402,1.46053982613184,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"44",150,100,20,40,0,0,0.919530767647664,0.896686561020786,0.904095492899774,0.900185223296975,0.0282087447108604,0.583247581806956,0.890718254784935,0.867256637168142,2.23825658061653,0.72581081965245,1.97695039687077,0.697002526333605,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"45",50,100,40,40,0,0,0.919530767647664,0.899773615970364,0.911504424778761,0.911504424778761,0.0282087447108604,0.584894011113398,0.944433010907594,0.948549084173698,2.42315798584388,1.8230377053811,2.43330706919265,1.99700047992805,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"46",150,100,40,40,0,0,0.919530767647664,0.899773615970364,0.906565136859436,0.908005762502573,0.0282087447108604,0.583247581806956,0.895451739040955,0.911710228442066,2.33037690094602,0.902152111701077,2.52948746146786,0.990676174006781,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"47",50,100,Inf,40,0,0,0.919530767647664,0.896686561020786,0.992591068121012,0.992591068121012,0.0282087447108604,0.65136859436098,0.983535706935583,0.984153117925499,2.36779836794557,2.3335950491369,2.39277065897325,2.43088094627743,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"48",150,100,Inf,40,0,0,0.919530767647664,0.899773615970364,0.908623173492488,0.911298621115456,0.0282087447108604,0.734719077999588,0.942580777937847,0.947108458530562,2.25299307173753,1.34380838627306,2.53277481369904,1.54721992525116,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"49",50,100,20,Inf,0,0,0.899567812307059,0.921383000617411,0.947314262193867,0.945873636550731,0.0282087447108604,0.600946696851204,0.912739246758592,0.914797283391644,3.76132183275269,1.47916856040886,3.73778957087687,1.54035870045532,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"50",150,100,20,Inf,0,0,0.899567812307059,0.92014817863758,0.884955752212389,0.882280304589422,0.0282087447108604,0.598271249228236,0.852232969746861,0.824243671537353,2.04325180999985,0.703500674982805,1.87050478782729,0.680805350216201,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"51",50,100,40,Inf,0,0,0.899567812307059,0.921383000617411,0.895451739040955,0.896069150030871,0.0282087447108604,0.600946696851204,0.935377649722165,0.937641490018522,2.42036470329549,1.85989677067185,2.43203133700181,1.98963106851192,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"52",150,100,40,Inf,0,0,0.899567812307059,0.921383000617411,0.893187898744598,0.893393702407903,0.0282087447108604,0.598271249228236,0.874048158057213,0.897303972010702,2.54091959576854,0.898393332867023,2.55604184234935,0.973612024044947,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"53",50,100,Inf,Inf,0,0,0.899567812307059,0.92014817863758,0.99053303148796,0.99053303148796,0.0282087447108604,0.652603416340811,0.9802428483227,0.980860259312616,2.36871261085425,2.39061516236598,2.41201772988651,2.43372187350182,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"54",150,100,Inf,Inf,0,0,0.899567812307059,0.921383000617411,0.891747273101461,0.894628524387734,0.0282087447108604,0.740275776908829,0.937847293681828,0.937435686355217,2.27855881248415,1.57085972306849,2.49047944421029,1.55068695748646,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
