"","Data","Method","max_rel","max_abs","hpp","hul","hiw","huu","htp","csw","ssq"
"1","gift","BS",0.06,127,0.2261,0.2342,0.2342,0.2422,0.2261,0.113,0.2261
"2","gift","EN",0.06,127,0.2261,0.2261,0.2342,0.2422,0.2261,0.2422,0.2342
"3","gift","BA",0.06,127,0.2261,0.2342,0.2342,0.2019,0.218,0.1938,0.218
"4","gift","QR",0.06,127,0.2261,0.2584,0.2584,0.1857,0.2422,0.2342,0.2342
"5","gift","CP",0.06,127,0.2261,0.2261,0.2261,0.2261,0.2261,0.2261,0.2261
"6","el","BS",0.22,1088,0.2414,0.2442,0.217,0.2226,0.2432,0.2348,0.2395
"7","el","EN",0.22,1088,0.2414,0.2414,0.2133,0.2348,0.2404,0.2376,0.2395
"8","el","BA",0.22,1088,0.2414,0.2535,0.2535,0.2217,0.232,0.3929,0.3929
"9","el","QR",0.22,1088,0.2414,0.203,0.203,0.102,0.2273,0.2414,0.2423
"10","el","CP",0.22,1088,0.2414,0.2414,0.2414,0.2414,0.2414,0.2414,0.2414
"11","multi","BS",NA,0,NA,NA,NA,NA,NA,NA,NA
"12","multi","EN",0.08,313,0.296,0.296,0.2027,0.2252,0.296,0.296,0.296
"13","multi","BA",0.08,313,0.296,0.3314,0.3314,0.2574,0.2928,0.0676,0.0676
"14","multi","QR",0.08,313,0.296,0.251,0.251,0.2156,0.2928,0.296,0.296
"15","multi","CP",0.08,313,0.296,0.296,0.296,0.296,0.296,0.296,0.296
"16","apparel","BS",0.12,332,0.3996,0.3996,0.3262,0.3262,0.3996,0.3585,0.3967
"17","apparel","EN",0.12,332,0.3996,0.3996,0.3056,0.3115,0.3996,0.3791,0.3996
"18","apparel","BA",0.12,332,0.3996,0.3732,0.3732,0.3644,0.3849,0.3967,0.3996
"19","apparel","QR",0.12,332,0.3996,0.3996,0.3996,0.0441,0.3996,0.4026,0.4026
"20","apparel","CP",0.12,332,0.3996,0.3996,0.3996,0.3996,0.3996,0.3996,0.3996
