"","Var1","Var2","Var3","Var4","CET_CP_perf","PTS_CP_perf","CET_QR_perf","PTS_QR_perf","CET_quantile","PTS_quantile","CET_Lr","CET_La","CET_Ls","CET_Lb","CET_Ur","CET_Ua","CET_Us","CET_Ub","PTS_Lr","PTS_La","PTS_Ls","PTS_Lb","PTS_Ur","PTS_Ua","PTS_Us","PTS_Ub"
"1",20,15,0,0,0.947791164658635,0.903614457831325,0.967871485943775,0.943775100401606,2.83700397143757,2.75055781590781,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"49",20,15,0,20,1,0.987951807228916,0.903614457831325,0.91566265060241,2.83700397143757,2.75055781590781,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"97",20,15,0,40,0.995983935742972,0.959839357429719,0.899598393574297,0.899598393574297,2.83700397143757,2.75055781590781,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"5",20,50,0,0,0.975903614457831,0.963855421686747,0.975903614457831,0.875502008032129,2.83700397143757,2.75055781590781,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"53",20,50,0,20,1,0.983935742971888,0.923694779116466,0.887550200803213,2.83700397143757,2.75055781590781,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"101",20,50,0,40,0.995983935742972,0.975903614457831,0.93574297188755,0.8714859437751,2.83700397143757,2.75055781590781,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"9",20,80,0,0,0.987951807228916,0.975903614457831,0.91566265060241,0.879518072289157,2.83700397143757,2.75055781590781,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"57",20,80,0,20,1,0.995983935742972,0.891566265060241,0.883534136546185,2.83700397143757,2.75055781590781,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"105",20,80,0,40,0.991967871485944,0.983935742971888,0.875502008032129,0.863453815261044,2.83700397143757,2.75055781590781,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"13",20,100,0,0,0.995983935742972,0.987951807228916,0.91566265060241,0.859437751004016,2.83700397143757,2.75055781590781,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"61",20,100,0,20,1,0.991967871485944,0.887550200803213,0.863453815261044,2.83700397143757,2.75055781590781,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"109",20,100,0,40,1,0.987951807228916,0.895582329317269,0.85140562248996,2.83700397143757,2.75055781590781,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"17",20,15,20,0,0.602409638554217,0.714859437751004,0.959839357429719,0.807228915662651,2.8750680035054,1.27196547620876,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"65",20,15,20,20,0.887550200803213,0.91566265060241,0.903614457831325,0.891566265060241,2.8750680035054,1.27196547620876,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"113",20,15,20,40,0.795180722891566,0.835341365461847,0.899598393574297,0.85140562248996,2.8750680035054,1.27196547620876,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"21",20,50,20,0,0.795180722891566,0.899598393574297,0.939759036144578,0.706827309236948,2.8750680035054,1.27196547620876,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"69",20,50,20,20,0.947791164658635,0.955823293172691,0.91566265060241,0.85140562248996,2.8750680035054,1.27196547620876,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"117",20,50,20,40,0.887550200803213,0.919678714859438,0.93574297188755,0.795180722891566,2.8750680035054,1.27196547620876,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"25",20,80,20,0,0.839357429718876,0.919678714859438,0.891566265060241,0.706827309236948,2.8750680035054,1.27196547620876,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"73",20,80,20,20,0.931726907630522,0.963855421686747,0.891566265060241,0.807228915662651,2.8750680035054,1.27196547620876,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"121",20,80,20,40,0.895582329317269,0.947791164658635,0.875502008032129,0.746987951807229,2.8750680035054,1.27196547620876,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"29",20,100,20,0,0.887550200803213,0.943775100401606,0.867469879518072,0.710843373493976,2.8750680035054,1.27196547620876,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"77",20,100,20,20,0.939759036144578,0.971887550200803,0.887550200803213,0.803212851405622,2.8750680035054,1.27196547620876,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"125",20,100,20,40,0.907630522088353,0.951807228915663,0.863453815261044,0.751004016064257,2.8750680035054,1.27196547620876,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"33",20,15,40,0,0.746987951807229,0.807228915662651,0.983935742971888,0.947791164658635,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"81",20,15,40,20,0.959839357429719,0.939759036144578,0.955823293172691,0.919678714859438,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"129",20,15,40,40,0.891566265060241,0.895582329317269,0.951807228915663,0.899598393574297,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"37",20,50,40,0,0.879518072289157,0.91566265060241,0.975903614457831,0.887550200803213,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"85",20,50,40,20,0.979919678714859,0.963855421686747,0.923694779116466,0.891566265060241,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"133",20,50,40,40,0.971887550200803,0.951807228915663,0.93574297188755,0.875502008032129,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
