;splitweek1;splitweek2;end1;end2;BS_CET;EN_CET;BA_CET;QR_CET;CP_CET;CR_CET;EN_PTS;QR_PTS;CP_PTS;CR_PTS;CET_CP_quantile;PTS_CP_quantile;CET_CR_quantile;PTS_CR_quantile;CET_Lr;CET_La;CET_Ls;CET_Lb;CET_Ur;CET_Ua;CET_Us;CET_Ub;PTS_Lr;PTS_La;PTS_Ls;PTS_Lb;PTS_Ur;PTS_Ua;PTS_Us;PTS_Ub
1;50;20;20;20;0;0;0.908623173;0.966659807;0.917266927;0.917061124;0.028208745;0.742333814;0.933525417;0.934966042;3.733044019;1.454397521;3.724561446;1.540295725;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
2;150;20;20;20;0;0;0.908623173;0.917266927;0.904301297;0.903889689;0.028208745;0.740687384;0.907799959;0.89215888;2.276106105;0.724221441;1.961932381;0.685839816;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
3;50;20;40;20;0;0;0.908623173;0.966659807;0.913768265;0.913562461;0.028208745;0.742333814;0.958633464;0.958016053;2.437164225;2.084227685;2.42271175;2.004402275;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
4;150;20;40;20;0;0;0.908623173;0.966659807;0.904712904;0.905536119;0.028208745;0.740687384;0.914385676;0.922206215;2.427979056;0.895417197;2.506320209;0.961414866;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
5;50;20;Inf;20;0;0;0.908623173;0.917266927;0.99773616;0.99773616;0.028208745;0.737600329;0.991356246;0.991356246;2.394022422;2.486839996;2.423247026;2.478636667;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
6;150;20;Inf;20;0;0;0.908623173;0.966659807;0.911298621;0.907388352;0.028208745;0.742333814;0.963366948;0.958633464;3.034028251;1.813810467;2.393539675;1.514760091;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
7;50;20;20;40;0;0;0.821979831;0.968306236;0.863140564;0.839267339;0.028208745;0.772175345;0.876929409;0.867668244;3.812628172;1.768660648;3.720001795;1.505375003;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
8;150;20;20;40;0;0;0.821979831;0.929615147;0.813541881;0.814982507;0.028208745;0.76908829;0.789668656;0.803457502;1.606541299;0.662686383;1.949828097;0.689654053;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
9;50;20;40;40;0;0;0.821979831;0.968306236;0.834328051;0.832064211;0.028208745;0.772175345;0.917061124;0.908828977;2.47958433;2.272290722;2.425929853;1.969017795;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
10;150;20;40;40;0;0;0.821979831;0.968306236;0.820745009;0.820539206;0.028208745;0.76908829;0.836180284;0.846264664;2.600443283;0.906110314;2.575302154;0.986165661;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
11;50;20;Inf;40;0;0;0.821979831;0.929615147;0.987034369;0.987445977;0.028208745;0.766001235;0.975920971;0.97694999;2.348074726;2.347390078;2.409037398;2.467145653;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
12;150;20;Inf;40;0;0;0.821979831;0.968306236;0.822597242;0.823214653;0.028208745;0.772381148;0.935995061;0.911092817;2.348074726;2.347390078;2.450801184;1.541707858;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
13;50;20;20;Inf;0;0;0.649722165;0.980448652;0.77979008;0.789051245;0.028208745;0.841531179;0.749125334;0.742539617;3.712300792;1.593772756;3.730738984;1.525395091;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
14;150;20;20;Inf;0;0;0.649722165;0.972010702;0.638608767;0.642519037;0.028208745;0.839678946;0.645400288;0.657748508;1.566786802;0.664401337;1.994966248;0.696379399;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
15;50;20;40;Inf;0;0;0.649722165;0.980448652;0.741098992;0.694998971;0.028208745;0.841531179;0.801193661;0.797077588;2.475018496;2.067524309;2.421632285;1.964820318;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
16;150;20;40;Inf;0;0;0.649722165;0.980448652;0.647869932;0.651162791;0.028208745;0.839678946;0.688619057;0.71290389;2.331533788;0.897999361;2.543773135;1.024517535;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
17;50;20;Inf;Inf;0;0;0.649722165;0.972010702;0.925910681;0.926733896;0.028208745;0.837826713;0.932702202;0.931055773;2.346952133;2.481782237;2.417114514;2.428875136;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
18;150;20;Inf;Inf;0;0;0.649722165;0.980448652;0.650133772;0.657542704;0.028208745;0.842354394;0.7752624;0.80448652;2.193924038;1.209666066;2.556492855;1.623159597;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
19;50;50;20;20;0;0;0.942992385;0.907388352;0.934554435;0.933525417;0.028208745;0.63593332;0.944227207;0.940934349;3.763096866;1.754272207;3.735122877;1.553720266;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
20;150;50;20;20;0;0;0.942992385;0.903889689;0.923235234;0.922823626;0.028208745;0.633669479;0.909652192;0.903066475;2.042602191;0.704775718;1.972926521;0.69464099;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
21;50;50;40;20;0;0;0.942992385;0.907388352;0.928997736;0.929409343;0.028208745;0.63593332;0.956369623;0.959868286;2.384508661;1.856852442;2.41430199;1.994833084;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
