"","splitweek1","splitweek2","end1","end2","BS_CET","EN_CET","BA_CET","QR_CET","CP_CET","CR_CET","EN_PTS","QR_PTS","CP_PTS","CR_PTS","CET_CP_quantile","PTS_CP_quantile","CET_CR_quantile","PTS_CR_quantile","CET_Lr","CET_La","CET_Ls","CET_Lb","CET_Ur","CET_Ua","CET_Us","CET_Ub","PTS_Lr","PTS_La","PTS_Ls","PTS_Lb","PTS_Ur","PTS_Ua","PTS_Us","PTS_Ub"
"1",20,40,20,20,0,0,0.876453488372093,0.758720930232558,0.660852713178295,0.674418604651163,0.0267983074753173,0.64922480620155,0.753875968992248,0.753875968992248,0.421333583927676,0.377971218069367,0.60333951132396,0.376563090386768,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"2",60,40,20,20,0,0,0.876453488372093,0.749031007751938,0.0668604651162791,0.0658914728682171,0.0267983074753173,0.647771317829457,0.749031007751938,0.749031007751938,0.821848694088522,0.981667383207992,0.821700891126396,0.981576633398778,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"3",160,40,20,20,0,0,0.876453488372093,0.749031007751938,0.717538759689923,0.718023255813954,0.0267983074753173,0.660852713178295,0.749031007751938,0.749031007751938,0.915931536494521,0.990697263746261,0.916572232022335,0.991682414838056,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"4",20,40,40,20,0,0,0.876453488372093,0.758720930232558,0.958817829457364,0.958817829457364,0.0267983074753173,0.725290697674419,0.923934108527132,0.924418604651163,2.64738856249553,2.85528813169239,2.65522136550037,2.91920076822154,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"5",60,40,40,20,0,0,0.876453488372093,0.749515503875969,0.768410852713178,0.0406976744186047,0.0267983074753173,0.649709302325581,0.767926356589147,0.752906976744186,2.64738856249553,2.85528813169239,0.919413010365353,0.992276416457022,2.3,70,8e-06,100,0.01,3500,2,100,2.3,70,8e-06,100,0.01,3500,2,100
"6",160,40,40,20,0,0,0.876453488372093,0.749031007751938,0.749031007751938,0.749031007751938,0.0267983074753173,0.688468992248062,0.753391472868217,0.752906976744186,1.03841656507081,0.995842099166448,1.03925396748782,0.995118075654976,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"7",20,40,Inf,20,0,0,0.876453488372093,0.749031007751938,0.999031007751938,0.998546511627907,0.0267983074753173,0.720445736434108,0.987887596899225,0.986434108527132,2.88856974262345,3.19808799554665,2.84480539402921,3.00866926426179,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"8",60,40,Inf,20,0,0,0.876453488372093,0.749515503875969,0.775193798449612,0.77422480620155,0.0267983074753173,0.776647286821705,0.823158914728682,0.823643410852713,1.43350444190381,1.15987598536968,1.40101586185919,1.16439502055676,2.3,80,8e-06,100,0.01,3500,2,100,2.3,80,8e-06,100,0.01,3500,2,100
"9",160,40,Inf,20,0,0,0.876453488372093,0.758720930232558,0.755329457364341,0.753875968992248,0.0267983074753173,0.750484496124031,0.757751937984496,0.756782945736434,1.43350444190381,1.15987598536968,1.36960383027247,1.05854042333582,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"10",20,40,20,40,0,0,0.876453488372093,0.939437984496124,0.638565891472868,0.661337209302326,0.0267983074753173,0.646802325581395,0.747577519379845,0.747093023255814,0.489880111888799,0.378617265597913,0.59579093941322,0.375536260399613,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
