"","Method","Data","PICP","ACE","PICPW","PIARW","PIARWW","MSIS","SWR","Upper.coverage","Lower.coverage","Time","Time_rel"
"1","BA","gift",0.983,-0.083,0.8137,10.9538,9.4455,13.0295,0.0897,0.983,1,746.6716,45.3095
"2","BA","el",0.8837,0.0163,0.492,4.5601,4.9435,75.8657,0.1938,0.8841,0.9996,87.1369,5.2876
"3","BA","multi",0.9761,-0.0761,0.5909,9.5724,8.3749,17.2195,0.102,0.9761,1,8392.8783,509.2968
"4","BA","apparel",0.9644,-0.0644,0.8582,4.8213,4.0899,6.8836,0.2,0.969,0.9954,146.4306,8.8857
"5","BS","gift",0.0141,0.8859,0.0375,0.2682,0.2816,37.3243,0.0524,0.7602,0.2539,1228.391,74.5412
"6","BS","el",0.0027,0.8973,0.0094,0.2176,0.1821,93.2005,0.0123,0.8133,0.1893,725.2538,44.0099
"7","BS","multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BS","apparel",0.0201,0.8799,0.0333,0.1293,0.1102,21.7756,0.1555,0.641,0.3791,993.5866,60.2928
"9","CP","gift",0.9549,-0.0549,0.6171,6.0575,5.2245,11.702,0.1576,0.9549,1,17.3019,1.0499
"10","CP","el",0.9333,-0.0333,0.529,14.6561,11.2136,49.3349,0.0637,0.9333,1,16.4793,1
"11","CP","multi",0.9441,-0.0441,0.3023,10.1164,8.7027,16.7734,0.0933,0.9441,1,410.5946,24.9157
"12","CP","apparel",0.8798,0.0202,0.6336,2.7881,2.3939,7.5872,0.3155,0.8946,0.9852,11.043,0.6701
"13","CR","gift",0.9549,-0.0549,0.6171,6.0952,5.256,11.708,0.1567,0.9549,1,224.116,13.5998
"14","CR","el",0.8829,0.0171,0.4107,13.8512,10.6115,49.9486,0.0637,0.8829,1,187.4498,11.3748
"15","CR","multi",0.9441,-0.0441,0.3023,10.1294,8.7137,16.7711,0.0932,0.9441,1,3593.856,218.0824
"16","CR","apparel",0.8801,0.0199,0.6338,2.836,2.4368,7.5273,0.3103,0.8946,0.9855,60.9358,3.6977
"17","EN","gift",0.0107,0.8893,0.0285,0.3116,0.3083,36.0972,0.0342,0.7602,0.2505,49.4184,2.9988
"18","EN","el",0.0037,0.8963,0.0126,0.1749,0.1535,93.6494,0.0212,0.8142,0.1895,80.8995,4.9091
"19","EN","multi",0,0.9,0,0.5804,0.4701,27.097,0,0.9194,0.0806,279.6304,16.9685
"20","EN","apparel",0.024,0.876,0.0368,0.1501,0.1171,21.5615,0.1597,0.641,0.3829,64.5908,3.9195
"21","QR","gift",0.952,-0.052,0.6003,8.0923,6.5505,12.1046,0.1176,0.952,1,321.1329,19.487
"22","QR","el",0.9337,-0.0337,0.4799,26.6989,19.5407,44.726,0.035,0.9341,0.9996,265.6469,16.12
"23","QR","multi",0.9843,-0.0843,0.6455,18.2627,14.4328,21.157,0.0539,0.9843,1,551.7171,33.4793
"24","QR","apparel",0.9076,-0.0076,0.6088,3.7018,2.7961,6.781,0.2452,0.9087,0.9989,264.0006,16.0201
