"","Var1","Var2","Var3","Var4","CET_CP_perf","PTS_CP_perf","CET_QR_perf","PTS_QR_perf","CET_quantile","PTS_quantile","CET_Lr","CET_La","CET_Ls","CET_Lb","CET_Ur","CET_Ua","CET_Us","CET_Ub","PTS_Lr","PTS_La","PTS_Ls","PTS_Lb","PTS_Ur","PTS_Ua","PTS_Us","PTS_Ub"
"1",130,110,0,0,0.9,0.427027027027027,0.962162162162162,0.913513513513514,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"49",130,110,0,20,0.964864864864865,0.0162162162162162,0.962162162162162,0.967567567567568,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"97",130,110,0,40,0.956756756756757,0.0756756756756757,0.967567567567568,0.940540540540541,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"5",130,130,0,0,0.897297297297297,0.313513513513514,0.956756756756757,0.886486486486487,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"53",130,130,0,20,0.962162162162162,0.0108108108108108,0.962162162162162,0.97027027027027,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"101",130,130,0,40,0.867567567567568,0.0594594594594595,0.87027027027027,0.875675675675676,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"9",130,180,0,0,0.872972972972973,0.151351351351351,0.908108108108108,0.854054054054054,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"57",130,180,0,20,0.964864864864865,0.0216216216216216,0.962162162162162,0.956756756756757,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"105",130,180,0,40,0.859459459459459,0.0702702702702703,0.856756756756757,0.845945945945946,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"13",130,210,0,0,0.918918918918919,0.108108108108108,0.916216216216216,0.854054054054054,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"61",130,210,0,20,0.978378378378378,0.0216216216216216,0.972972972972973,0.940540540540541,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"109",130,210,0,40,0.972972972972973,0.0810810810810811,0.964864864864865,0.897297297297297,1.28827863003947,1.44355639379868,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"17",130,110,20,0,0.9,0.245945945945946,0.751351351351351,0.608108108108108,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
"65",130,110,20,20,0.402702702702703,0.0108108108108108,0.962162162162162,0.937837837837838,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
"113",130,110,20,40,0.945945945945946,0.0378378378378378,0.951351351351351,0.878378378378378,0.956340743490697,1.00299206223307,3.5,50,2,100,0.01,3500,2,100,3.5,50,2,100,0.01,3500,2,100
