;Var1;Var2;Var3;Var4;CET_CP_perf;PTS_CP_perf;CET_CP_perf_B2;PTS_CP_perf_B2;CET_QR_perf;PTS_QR_perf;CET_quantile;PTS_quantile;CET_quantile_B2;PTS_quantile_B2;CET_Lr;CET_La;CET_Ls;CET_Lb;CET_Ur;CET_Ua;CET_Us;CET_Ub;PTS_Lr;PTS_La;PTS_Ls;PTS_Lb;PTS_Ur;PTS_Ua;PTS_Us;PTS_Ub
1;130;110;0;0;0.898995865;0.928726127;0.898995865;0.92104745;0.954124828;0.90253987;1.336153541;1.17798593;1.350077918;1.350077918;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
49;130;110;0;20;0.97223863;0.982476866;0.97223863;0.98149242;0.954518606;0.943689703;1.336153541;1.17798593;1.350077918;1.350077918;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
97;130;110;0;40;0.970072849;0.982870644;0.970072849;0.980114196;0.949990156;0.919669226;1.336153541;1.17798593;1.350077918;1.350077918;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
5;130;130;0;0;0.914550108;0.902736759;0.915337665;0.892695412;0.942705257;0.882063398;1.336153541;1.17798593;1.350077918;1.350077918;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
53;130;130;0;20;0.978735972;0.98385509;0.97912975;0.981295531;0.962197283;0.957275054;1.336153541;1.17798593;1.350077918;1.350077918;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
101;130;130;0;40;0.916125222;0.911202993;0.916322111;0.902933648;0.871234495;0.859027368;1.336153541;1.17798593;1.350077918;1.350077918;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
9;130;180;0;0;0.914353219;0.91888167;0.915140776;0.910612325;0.931679464;0.856270919;1.336153541;1.17798593;1.350077918;1.350077918;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
57;130;180;0;20;0.981295531;0.987005316;0.981295531;0.985823981;0.96987596;0.942508368;1.336153541;1.17798593;1.350077918;1.350077918;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
105;130;180;0;40;0.942508368;0.924985233;0.942902146;0.917109667;0.881866509;0.848198464;1.336153541;1.17798593;1.350077918;1.350077918;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
13;130;210;0;0;0.912974995;0.913762552;0.914353219;0.90726521;0.893089191;0.846426462;1.336153541;1.17798593;1.350077918;1.350077918;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
61;130;210;0;20;0.92577279;0.940736365;0.92577279;0.936207915;0.90490254;0.887773184;1.336153541;1.17798593;1.350077918;1.350077918;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
109;130;210;0;40;0.943295924;0.950383934;0.943689703;0.943689703;0.905296318;0.869856271;1.336153541;1.17798593;1.350077918;1.350077918;2.9;50;8.00E-06;100;0.01;3500;2;100;2.9;50;8.00E-06;100;0.01;3500;2;100
17;130;110;20;0;0.265012798;0.241976767;0.265012798;0.253790116;0.974995078;0.59618035;0.888007373;0.986510388;0.888649465;0.888649465;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
65;130;110;20;20;0.882063398;0.688718252;0.882063398;0.922622563;0.955306163;0.915928332;0.888007373;0.986510388;0.888649465;0.888649465;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
113;130;110;20;40;0.559558968;0.046072061;0.559558968;0.846623351;0.968103957;0.850364245;0.888007373;0.986510388;0.888649465;0.888649465;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
21;130;130;20;0;0.191376255;0.193738925;0.191376255;0.673164009;0.952943493;0.618822603;0.888007373;0.986510388;0.888649465;0.888649465;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
69;130;130;20;20;0.888166962;0.722583186;0.890529632;0.932270132;0.963181729;0.933057689;0.888007373;0.986510388;0.888649465;0.888649465;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
117;130;130;20;40;0.573341209;0.57314432;0.57767277;0.796810396;0.871825162;0.75881079;0.888007373;0.986510388;0.888649465;0.888649465;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
25;130;180;20;0;0.591455011;0.113211262;0.591848789;0.720220516;0.933451467;0.690490254;0.888007373;0.986510388;0.888649465;0.888649465;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
