"","x"
"1","L 1. V(CLV) Examining Variance in Models of Customer Lifetime Value.pdf"
"2","L 10. Analysis of Uncertainty in Time Series Data Issues and Challenges.pdf"
"3","L 11. How to Describe and Propagate Uncertainty.pdf"
"4","L 12. Relative contributions of aleatory and epistemic uncertainty sources in time series prediction.pdf"
"5","L 13. Time Series Analysis - 2008 - Box.pdf"
"6","L 14. Customer Lifetime Value Measurement.pdf"
"7","L 15. On the Profitability of Long-Life Customers in a Noncontractual Setting An Empirical Investigation and Implications for Marketing.pdf"
"8","L 16. Will the frog change into a prince Predicting future customer profitability.pdf"
"9","L 17. Balancing Risk and Return in a Customer Portfolio.pdf"
"10","L 18. CAN WE PREDICT CUSTOMER LIFTETIME VALUE.pdf"
"11","L 19. A framework for variance analysis of customer equity based on a Markov.pdf"
"12","L 2. Forecast Selection and Representativeness.pdf"
"13","L 20. Modeling Customer Lifetime Value.pdf"
"14","L 21. Non-parametric estimation of mean customer lifetime value.pdf"
"15","L 22. Valuing the Real Option of Abandoning Unprofitable Customers When Calculating Customer Lifetime Value.pdf"
"16","L 23. Modeling Customer Lifetime Value, Retention, and Churn.pdf"
"17","L 24. Customer Base Analysis An Industrial Purchase Process Application.pdf"
"18","L 25. On the customer lifetime value a mathematical perspective.pdf"
"19","L 26. Customer lifetime value The path to profitability.pdf"
"20","L 27. Return on marketing using customer equity to focus.pdf"
"21","L 28. WIREs Climate Change - 2010 - Hargreaves - Skill and uncertainty in climate models.pdf"
"22","L 29. MANAGING UNCERTAINTY IN SPATIO-TEMPORAL SERIES.pdf"
"23","L 3. Customer-Base Analysis in a Discrete-Time Noncontractual Setting.pdf"
"24","L 31. Bagging and Boosting Classification Trees to Predict Churn.pdf"
"25","L 32. Defection Detection Measuring and Understanding the Predictive Accuracy of Customer Churn Models.pdf"
"26","L 33. Customer Acquisition via Display Advertising Using Multi-Armed Bandit Experiments.pdf"
"27","L 4. How Does the Uncertainty Principle Limit Time Series Analysis.pdf"
"28","L 5. Uncertainty estimation for time series forecasting via Gaussian process regression surrogates.pdf"
"29","L 6. Impact of Financial and Nonfinancial Constructs on Customer Lifetime Value  CLV   U.S. Retailer s Perspective.pdf"
"30","L 7. Measuring the Lifetime Value of a Customer in the Consumer Packaged Goods Industry.pdf"
"31","L 8. Analysis of Uncertainty in Time Series Data Issues and Challenges.pdf"
"32","L 9. Exploring the sources of uncertainty Why does bagging for time.pdf"
"33","CP 1. gentle_intro_conformal_dfuq.pdf"
"34","CP 2. 1-s2.0-S0893608023004999-main.pdf"
"35","CP 3. 1-s2.0-S089360801100150X-main.pdf"
"36","CP 4. Bellman Conformal Inference Calibrating Prediction Intervals For Time Series.pdf"
"37","CP 5. Conformal Time-Series Forecasting.pdf"
"38","CP 6. An Exact and Robust Conformal Inference Method for Counterfactual and Synthetic Controls.pdf"
"39","CP 7. Conformalized Quantile Regression.pdf"
